"Guid","CurrencyIsoCode","SBQQ__Active__c","SBQQ__AssetQuoteLineQuantity__c","SBQQ__AssetQuoteLine__c","SBQQ__Quote__c","SBQQ__SubscriptionBasePrice__c","SBQQ__SubscriptionNetTotal__c","SBQQ__SubscriptionQuoteLine__c"
04afb586-6ee7-4f88-8fea-c3247a24491b,USD,false,1.0,"#N/A","#N/A",10000.0,0.0,"#N/A"
04b3fcba-9c69-4108-8550-30f18378bbc8,USD,false,1.0,"#N/A","#N/A",2412.0,3239.33,"#N/A"
04bfb3d4-7e73-47b8-b7c5-61dd5623bcd8,GBP,false,0.0,6cfc3224-8b66-45bd-9103-69267fcf36ed,8d2d0f62-c20f-47b5-90d9-27df472ef766,14000.0,12800.0,9922757d-0a5d-428d-9250-b96fb60713fe
04c2e255-b95b-4ba7-96e2-2a0e7db9c0af,USD,false,1.0,"#N/A","#N/A",10000.0,5500.0,"#N/A"
04c37d59-45dd-46f4-98c9-00095da3c364,USD,false,1.0,d342588b-466f-40a8-88d3-413cb4a03c75,60c197ff-c610-4e8b-90c8-79c6cc6eddbf,10000.0,5500.0,1de81af4-9428-45fa-910a-0fc10d0dd02c
04d0b720-a1f9-4452-98f6-b3f4bc43785f,USD,false,1.0,"#N/A","#N/A",10000.0,-777.01,"#N/A"
04d15b0b-0b3a-408a-9702-4c5429a8b1c0,USD,false,0.0,"#N/A","#N/A",17500.0,0.0,"#N/A"
04e07354-2d1e-4210-9a8a-244e353cdaee,USD,false,1.0,"#N/A","#N/A",1533.0,1714.28,"#N/A"
04ece265-6753-4654-a210-5851df158fc1,USD,false,0.0,"#N/A","#N/A",4226.12,633.39,"#N/A"
04fbe445-173b-4c38-934a-aa28a676d97f,USD,false,1.0,"#N/A","#N/A",10000.0,5500.0,"#N/A"
0503353f-fcca-41de-8701-f06c3dd911c7,USD,false,1.0,"#N/A","#N/A",480.0,8041.28,"#N/A"
051a35d2-a208-409e-ace2-e96ff80d6b8c,GBP,false,1.0,"#N/A","#N/A",8000.0,4400.0,"#N/A"
051f422d-b118-4f75-8c27-4465d24fb565,USD,false,0.0,"#N/A","#N/A",10000.0,0.0,"#N/A"
053492e2-2376-4500-998f-bb2753383120,USD,false,1.0,"#N/A","#N/A",10000.0,2000.0,"#N/A"
053f7910-10e1-4dae-811a-2cebae75243f,USD,false,1.0,"#N/A","#N/A",10000.0,4718.46,"#N/A"
0544aa57-6d97-4728-9cc1-28730a9cf2dc,USD,false,1.0,"#N/A","#N/A",17500.0,3783.0,"#N/A"
055117a5-129e-426e-ace9-62346d840fbf,USD,false,0.0,"#N/A","#N/A",2000.0,0.0,"#N/A"
0554589a-9526-476e-a250-6b68091bc715,USD,false,0.0,"#N/A","#N/A",10000.0,93333.33,"#N/A"
